"id","username","email","password","first_name","last_name","phone_number","admin","csgo","lol"
"1","admin","admin@admin.dk","21232f297a57a5a743894a0e4a801fc3","Michelle","Thykjær","20967556","1","0","0"
"21","JohnDoe","test@test.dk","5f4dcc3b5aa765d61d8327deb882cf99","John","Doe","12345678","0","1","1"
"22","JaneDoe","test@test.dk","5f4dcc3b5aa765d61d8327deb882cf99","Jane","Doe","12345678","0","0","1"
"user","school","date","start","end"
"JohnDoe","Gl Lindholm ","2021-04-19","10:00:00","12:30:00"
"JohnDoe","Gl Lindholm ","2021-04-20","08:00:00","12:30:00"
"JohnDoe","Gl Lindholm ","2021-04-21","12:30:00","15:30:00"
"JohnDoe","Filstedvejen Skole","2021-04-22","12:30:00","15:30:00"
"JaneDoe","Aalborg Universitet","2021-04-12","11:00:00","15:00:00"
"JaneDoe","Aalborg Universitet","2021-04-14","08:30:00","16:15:00"
"admin","Filstedvejen Skole","2021-04-12","10:30:00","12:30:00"
"admin","Filstedvejen Skole","2021-04-15","08:30:00","12:30:00"
"admin","Filstedvejen Skole","2021-04-20","08:30:00","16:15:00"
"school_name","street_name","postal_code","city","csgo","lol","salary","street_number","id"
"Cool School","Your way","9000","Aalborg","0","0","220","37","1"
"Gl Lindholm ","Lindholmsvej","9400","Nørresundby","1","0","300","27","8"
"Filstedvejen Skole","Filstedvejen","9000","Aalborg","0","1","300","12","9"
"Aalborg Universitet","Studystreet","9210","Aalborg Ø","1","1","220","37","10"
